A: 	ja ja een ja een soort staart zijn het haast 
A: 	ja 
A: 	vijf 
B: 	oké 
B: 	het kop staan op een vierkant plateauachtig iets 
B: 	dat zijn eigenlijk de enig die op iets staan 
B: 	plat ding 
B: 	met allemaal van die bollet dinget erachter 
B: 	ja en dan nog een een cirkel aan de voorkant en dan nog een boog ernaast en aan de ander kant ook zo'n boog ernaast 
A: 	dit zijn dat kop op dat bord met ook een bord van voren en die soort staar 
A: 	ja 
A: 	die ja precies dat zijn elf 
A: 	dit zijn diegene met het platform en bord voor en de sprie 
A: 	aan al twee de kant 
B: 	ja 
B: 	dat zijn de J 
A: 	ja ja ja ja 
A: 	negen 
B: 	dit zijn die staan op zo'n vierkant plateau met ruit aan de achterkant en zo'n cirkel aan de voorkant 
A: 	dit zijn op het platformp met 
A: 	ja en het bord voor 
B: 	ja 
B: 	dat zijn P ja 
B: 	dit zijn die op een vierkant ding staan 
B: 	als enig 
B: 	met de diaman erachter 
B: 	ja 
B: 	dat zijn L 
