B: 	ok deze hebben een soort van groot rond neus een beetje aan de rechterkant aan de linkerkant zitten een soort van 
B: 	driehoek balk er boven in opzitten twee uitsteeksel één zijn een beetje kegelachtig en de ander zijn een ja rechthoek 
A: 	oké ja 
A: 	en zitten er zo'n hoe heten zoiets ? een rechthoek in zo'n 
A: 	oké dan zijn het nummer veertien 
B: 	ja dat zijn N 
A: 	oké dit zijn weer dat theekopje wat jij omschreef maar dan met twee dinget erin de één wat puntig en de ander zo'n 
A: 	balk 
A: 	ja 
B: 	dit zijn met die neus en dan die twee ding bovenop 
B: 	neus zitten een beetje aan de rechterkant 
B: 	ja link ja 
B: 	ja dat zijn G 
B: 	ja dit zijn met die neus en twee van die ding bovenin en links dat driehoekje 
A: 	ja 
A: 	met die twee ding erin toch 
A: 	ja 
A: 	oké dat zijn nummer negen 
B: 	ja dat zijn J 
A: 	dit zijn dat theekopje eigenlijk maar dan met twee dinget in dus dat puntig en die 
A: 	nummer vijf 
A: 	dit zijn dat theekop met twee ding erin dus dat puntig en die rechthoekig 
