A: 	dit plaat hebben vier verschillend uitsteeksel 
A: 	twee aan de linkerkant één aan de bovenkant en één aan de rechterkant 
A: 	het uitsteeksel aan de rechterkant zijn een soort van uitgereken kubus 
A: 	en het uitsteeksel aan de bovenkant zijn een beetje ovaalvormig 
A: 	en aan de linkerkant zitten twee uitsteeksel waarvan er één de onderste ovaalvormig zijn en die daarachter ja lijken een soort van staart of iets dergelijk te zijn er zitten een knik in 
A: 	ik weten niet of je een beetje doorhebben wat ik bedoelen 
A: 	zeggen maar 
A: 	nee hij zijn zeggen maar hij zijn plat 
A: 	en daaruit komen een soort ovaalvormig figuur 
A: 	hij zijn wel best wel langwerpig 
A: 	lijken een beetje op die lepel zeggen maar waar ik het net over hebben 
A: 	oké 
B: 	zitten er ook een ruitvorm in of 
B: 	ik kunnen hem nu even niet zo snel vinden 
B: 	maar het zijn kegel die dezelfde hoogte hebben zelfde vorm 
B: 	oké 
B: 	lijken het een lijken de vorm een beetje op een glas 
B: 	ook niet 
B: 	die 
B: 	zijn het K 
B: 	ja het zijn geloven ik K ja 
B: 	ja 
B: 	ja 
B: 	ik zien hem 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	en dat bolle aan de ander kant 
A: 	dat bolle aan de ander kant 
A: 	ja 
A: 	zo 
A: 	ja 
A: 	maar daar zitten nog een uitsteeksel aan die kant 
A: 	ja en aan de ander kant die kubus 
A: 	ja 
A: 	nummer elf zijn dat 
B: 	nou het zijn weer die een met die roervormig uitsteeksel 
B: 	het kop 
B: 	ja die 
B: 	en de blokkentoren eraan 
B: 	ja 
B: 	oké 
A: 	en dit zijn het gek ding met twee lepelt één aan de bovenkant en één aan de linkerkant en de kubus die eruit komen aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	zijn J 
A: 	ja nummer negen 
B: 	zijn de het het anker weer 
B: 	het roer correctie Roer 
B: 	en de blokkentoren eraan 
A: 	en dit zijn het plaa met die vier uitsteeksel met twee lepelt één boven één link 
B: 	zijn B 
A: 	waar zijn je 
A: 	nummer vier 
B: 	het roer 
