B: 	je hebben een bal voorop 
B: 	dan aan de zijkant een driehoektui 
B: 	en bovenop een rechthoekig handvat en een soort van penachtig iets 
A: 	ja 
A: 	ja veel een veel een kegelachtig link 
A: 	en dan rechts nog een vierkant 
A: 	ja 
A: 	dat zijn zestien 
B: 	ja g 
A: 	eens even kijken dit zijn de kopvorm link bovenin beetje die kegel 
A: 	met ja eigenlijk een beetje de neus de de rond vorm in het midden 
B: 	deze hebben een bal voorop 
B: 	twee uitsteeksel bovenop één zijn rechthoek en ander soort penachtig 
A: 	nee niet de nee niet die niet de met dat ding erdoorheen 
A: 	maar die met de kegelvorm met een blok op het hoofd 
A: 	ja 
B: 	ja k 
B: 	deze hebben de bal voorop en een pen en dat rechthoekjeten Bovenin 
B: 	where did it go ja n 
A: 	ja aan de linkerkant en dan aan de echt aan de linkerkant zo'n driehoeksstaaf erin 
A: 	ja dat zijn acht 
A: 	dit zijn die met de neus met niks erdoorheen met die kegelvorm linksboven 
A: 	ja 
A: 	heel even 
A: 	de kegelvorm aan de linksbof 
A: 	ja 
A: 	zestien 
A: 	dit zijn die met de neus niks erdoorheen en de kegelvorm 
