B: 	oké 
B: 	even kijken 
B: 	ja 
B: 	ja met een hoek erin dat uitsteeksel 
B: 	ja en die balk zijn eigenlijk gewoon los 
B: 	ja oké 
B: 	dan zijn het d 
A: 	even kijken horen dit figuur hebben een een bolle bovenop 
A: 	en als ik zo kijk zijn dat de enig die dat hebben 
A: 	hij hebben ook een balk ervoor staan 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	deze hebben een balk aan de voorkant 
B: 	deze hebben we al hebben de balk aan de voorkant en zo'n bol erbovenop en twee van die arm aan de zijkant 
A: 	met een balkje ervoor 
A: 	ja 
A: 	nummer vijftien 
B: 	ja en een bal daarbovenop ja 
B: 	oké dat zijn L 
A: 	even kijken dit zijn aan de beide kant steken er iets uit dit zijn de enig met een bolle erop 
B: 	dit zijn degeen waar de balk voor staat met twee uitsteeksel en een bol bovenop 
A: 	bolle bovenop met een balkje ervoor 
A: 	ja dat zijn nummer zes 
B: 	die een beetje losstaan ja 
B: 	dat zijn J 
A: 	dit zijn de figuur met het ballet erbovenop met een balk ervoor 
A: 	enig met een balle erbovenop ja 
B: 	ik hebben diegene waar de balk voor staat en die bol daarbovenop en die twee uitsteeksel 
A: 	ja dat zijn nummer drie 
