B: 	ik hebben het doen me altijd aan gamen denken 
B: 	zo'n joystick bovenop en zo'n vierkant plaat aan de zijkant 
B: 	en twee van die verrekijkert aan de zijkant 
B: 	of een paddenstoel 
B: 	lijken erbovenop te losstaan 
B: 	met twee van die verrekijker eigenlijk aan de zijkant 
B: 	ja 
B: 	ja 
B: 	dat zijn G 
A: 	even kijken 
A: 	kunnen je het nog een keer 
A: 	ja ja 
A: 	ja 
A: 	ja 
A: 	en dan inderdaad aan de linkerkant die twee blokkentorens dat zien ik nu 
A: 	ja twee zijn dat 
B: 	de gamer 
B: 	oké dat zijn D 
A: 	ja oké zelfde plek 
A: 	oké dit zijn die met een vierkant ervoor 
A: 	en aan de linkerkant die twee blokkentorens die ertegenaan staan en die spijker erbovenop 
B: 	de gamer 
B: 	met de twee verrekijker 
A: 	oké 
A: 	yes oké dat zijn negen 
B: 	ja 
B: 	ja 
B: 	B 
A: 	oké dit zijn die met het vierkant aan de voorkant 
A: 	de twee blokkentorens links en die spijker 
A: 	yes 
A: 	even kijken ja 
A: 	dat zijn één 
A: 	vierkant aan de voorkant de twee blokkentorens links en het spijker erop 
A: 	yes 
