A: 	ok hij hebben een ja bolle op de bovenkant en aan de voorkant zijn één ja 
A: 	eigenlijk een rechthoek vrij langwerpig en aan de zijkant hebben hij eigenlijk twee van ja hoe omschrijf ik dit 
A: 	ja die staaf zijn zeggen maar redelijk lang die steken ook nou ongeveer één drie denken ik onder het kop uit 
A: 	ja ja 
B: 	ja 
B: 	ja 
B: 	dat zijn 
B: 	ja ik denken dat ik wel weten welk 
B: 	dat zijn bij mij dan D 
A: 	ok moeten hem even o ja en dan daar bovenop zo'n rond 
A: 	dit zijn vijftien 
B: 	ja ik hebben nou ook weer die een die hebben we al hebben met die staaf zeggen maar 
B: 	ervoor en dan twee uitsteeksel aan de zijkant en een bolle aan de bovenkant ja 
A: 	ja dit zijn met die twee armp rond bovenop en de ja lang vierkant of rechthoek 
A: 	ja where are you o ja zes met de ding aan de bovenkant 
A: 	ja 
A: 	ja dit zijn weer met die armp zo en met de bal bal bovenop 
B: 	ja dat zijn bij mij L 
A: 	ja dat zijn drie 
B: 	nou hebben weer die staaf aan de voorkant en dat bollet bovenop en dan die twee uitstekend staf 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	weer die een met die staaf ervoor zeggen maar en dat bolle aan de bovenkant en die twee staf die er nog uit steken 
B: 	ja 
