A: 	met van die raar uitsteeksel aan de zijkant en die driehoek die zo op elkaar zitten 
A: 	ja dat bedoelen ik sorry ja ja die vierkant waar die drie zo op elkaar zitten 
A: 	ja dat zijn nummer vijf 
B: 	oké 
B: 	ik hebben een vierkant als ondergrond en door het het object heen zitten zitten een staaf lijken het wel met drie van die ballet aan de uitein 
B: 	ja 
B: 	oké 
A: 	ja 
A: 	deze zitten met die vierkant op elkaar stapelen zo de drie vierkant 
A: 	ja precies op de voorkant 
B: 	ja 
B: 	ja ik hebben hem al 
B: 	dat zijn J 
A: 	ja 
A: 	ja 
A: 	dat zijn elf 
A: 	dit zijn die met die driehoek weer die die vierkant bedoelen ik die vier driehoek 
B: 	dit zijn die met het plateau aan de onderkant en die drie kraal aan beide kant 
A: 	die zo erlangs 
A: 	ja 
A: 	dat zijn negen 
B: 	plateau 
B: 	ja 
B: 	P 
A: 	de vierkant op elkaar 
B: 	dit zijn de plateau met de drie kraal aan beide kant 
B: 	ja L 
