A: 	ok dit doen me een beetje denken aan een aan een kip of het Twitter Vogeltje ? omdat hij zo twee 
A: 	uitstekel hebben en dat vinden ik een beetje een snavel en dan zo'n soort driehoek op zijn hoofd en dan zo'n dinge wat dan een vleugel zijn en een staart aan de onderkant 
A: 	zeggen maar aan de rechterkant hebben je twee rechthoekig balk direct onder elkaar 
A: 	bij mij negen 
B: 	met een gek neusje erop 
B: 	ja 
B: 	naar de rechterkant kijken die dan 
B: 	ja 
B: 	een rond en een ja 
B: 	ja 
B: 	het zijn lijken het op een vogel 
B: 	hebben die twee van die stok zeggen maar twee van die 
B: 	ik vinden het op het Twittervogeltje lijken 
B: 	ja 
B: 	precies ja 
B: 	precies dus hij hebben vier uitstulping 
B: 	waarvan er twee zo 
B: 	ja oké dan vijf inderdaad 
B: 	maar de twee stok dat die lopen parallel aan elkaar 
B: 	kijken 
B: 	oeh dan hebben we niet dan hebben we de I 
B: 	het zijn de I 
B: 	ik zitten even te kijken of het de hoofdletter maar het zijn een hoofdletter 
A: 	o 
A: 	ja zijn twee bij mij 
A: 	ok 
A: 	o dit zijn het twitter vogel 
A: 	vijf 
B: 	dit zijn het vogel zeggen maar met het feestmuts dat niet helemaal af zijn 
B: 	met die twee parallelle blok 
B: 	het half hoed of het 
B: 	naar rechts 
B: 	ja maar het zijn het heel hoed wat die hebben volgens hebben 
B: 	nee de Twittervogel zeker 
B: 	oké dan gaan het dus met die parallel staaf 
B: 	dan gaan het om M de driepoot M 
A: 	Twitter poppe ja negen bij mij 
A: 	dit zijn het twitter poppetje 
A: 	elf 
A: 	ja zijn zes bij mij 
B: 	dit zijn het vogel Twittervogeltje 
B: 	met de parallel stok 
B: 	ja dan gaan het om F 
B: 	het nee stopen het vogel 
B: 	ja 
