A: 	ja vier 
B: 	ja 
B: 	oké dit zijn eigenlijk een beetje nou dat zijn dat zijn gewoon de denken de lang van allemaal en dan van onder zijn eigenlijk een soort orkaan 
B: 	vinden ik 
B: 	ja zo'n twister 
B: 	en bovenop zien je twee blok en één zo'n 
B: 	ja dat zijn de goed 
B: 	ja ja 
A: 	deze hebben twee blok van ja vierkant blok er op 
A: 	die zegmaar er half opliggen half er af en dan dus weer met dat gedraaide ding op een driehoekje ja 
B: 	waar hebben ik die alweer zien 
B: 	ja 
B: 	A 
A: 	tien 
B: 	dit zijn die trofee 
A: 	dat driehoekje met dat gedraaide staafje en dan die twee blok er op 
A: 	vier 
B: 	trofee 
B: 	L 
A: 	dat driehoekje met een schuin blok er op en dan die blok die er af vallen 
B: 	dit zijn de trofee 
B: 	de bokaal 
B: 	F 
