A: 	dit zijn die ik net zeggen met die raar vulkaan op zijn hoofd 
A: 	ja met dat ding en dan die twee aan de zijkant 
A: 	en die staan best wel dicht bij het midden maar veel naar link 
A: 	wat hebben je doen 
A: 	shit ja 
A: 	ja 
A: 	oké 
B: 	staart ja ja ik hebben hem 
B: 	dat zijn I 
A: 	met die die een beetje op een eend lijken van Flappy Bird maar dan met een uitlaat 
A: 	ja 
A: 	oké dat zijn twee 
A: 	dit zijn die een met dat isteken aan de zijkant 
B: 	oké dit zijn de wat jij zeggen de F met die aan de rechterkant twee uitstekend balk 
B: 	en dan erbovenop de half kegelachtig in het midden zo'n balkje 
B: 	ja 
B: 	de F zeggen je toch 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	even zoeken 
A: 	ja met die dat half driehoekding op zijn hoofd 
A: 	dat zijn nummer negen 
A: 	met dat isteken weer 
A: 	nummer zes 
B: 	dit zijn de F met de 
B: 	ja dat zijn F toevallig 
B: 	dit zijn de F 
