A: 	ik hebben er één die hebben twee dezelfde vormp één recht op het midden zo'n langwerpig en één aan de zijkant ook zo'n langwerpig 
A: 	ja ja 
A: 	en nog zo'n soort van verrekijker tenminste zo hebben ik hem 
A: 	met van die vierkant 
A: 	oké 
B: 	ja 
B: 	ja zijn E 
A: 	ja 
A: 	even kijken wachten ik zijn even aan het zoeken ja Bingo 
A: 	elf 
B: 	deze hebben zegmaar twee van die ballonnet eentjedie boven uitsteken en één die daar links uit steekt en rechts hebben hij zo'n blokkentoren 
B: 	ja 
B: 	ja iets heel geks 
A: 	dit zijn degeen met één verrekijker en zo'n kegel hier en een kegel aan de zijkant 
A: 	ja 
A: 	negen 
A: 	mormeltje 
B: 	aan de rechterkant 
B: 	ja J 
B: 	twee ballonne er uit één boven één links en dan blokkentoren rechts 
B: 	en dat gek vormp aan de achterkant 
A: 	dit zijn degeen met één verrekijker 
A: 	en die twee kegel 
B: 	ja B 
A: 	ja 
A: 	vier 
B: 	twee ballonnet één boven één link rechts zitten zo'n blokkentoren 
