B: 	ja deze lijken echt een beetje op een beker die hebben een 
B: 	driehoek er onder en dan die spiraal zo en daar zitten zeggen maar die kop op vast of die mok 
B: 	ja je hebben bovenin uitzitten er twee blok op nog zo'n uitsteeksel en dat ding dat er onderuit komen en dan 
A: 	ja 
A: 	jij uitzien er zoveel ander ding in dan ik 
A: 	ik zien hier een pirouette in namelijk maar 
A: 	dat zijn vier 
B: 	die die kampioen trofee 
B: 	ja ok dat zijn dan A 
A: 	dit zijn die die jij op een kelk plaatsvinden lijken 
A: 	die met die gedraaide 
A: 	ja de cocktail 
B: 	ja dit zijn die die op een trofee lijken 
B: 	ja 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn tien 
B: 	ja dat zijn dan L 
A: 	dit zijn weer die cocktailglas 
B: 	ja dit zijn die beker 
B: 	ja 
B: 	de trofee dat zijn dan F 
A: 	zoeken zoeken zoeken 
A: 	ja dat zijn vier 
A: 	dit zijn weer die cocktailglas 
