B: 	oké 
B: 	ja nu hebben ik zeggen maar ik vinden dit een beetje op een gezicht lijken het zijn zeggen maar dat kop met zo'n soort hanenkam die rechthoekig zijn 
A: 	o ik weten wel die vierkant balk bovenop zijn dat met dat heel dun cilinder daar aan de rechterkant 
B: 	en dan hebben die zo'n soort neus erop 
B: 	en aan de ander kant zo'n trechter met een staafje erin 
B: 	raar 
A: 	heel ja jajaja 
B: 	ik denken niet dat dit ergens op lijken 
A: 	ja die ja die hebben ik al ja dan weten ik al welk je bedoelen 
B: 	dus je hebben zeggen maar dat kop en daarbovenop zitten zo'n rechthoekig ja vierkant doorsnede staafje 
A: 	ja het zijn gewoon die mok daar zitten een balk gewoon op liggen en aan de linksonder zitten een beetje een rondachtig 
B: 	helemaal erop 
A: 	ja nee dan ja dan zijn het gewoon dezelfde 
B: 	ja een bal ja een balk liggen erop zeggen maar 
A: 	achten 
B: 	bij zo'n kermis ding 
B: 	ja 
B: 	ja zo'n 
B: 	ja 
B: 	ja 
B: 	denken ik 
B: 	weten ik niet 
B: 	misschien 
B: 	maar ik denken dat het dezelfde zijn en dan hebben die nog zo'n trechteruitsteeksel 
B: 	of niet 
B: 	bij mij wel 
B: 	nou misschien hebben je toch wel een 
B: 	oké 
B: 	dus hij hebben echt een een een balk op zijn kop 
B: 	en dan hebben die zo'n ja zo'n vvormig uitsteeksel met een soort staafje erin 
B: 	en aan de linkerkant hebben die hebben die zo'n ja een soort neus vinden ik 
B: 	dus links hebben die een neus 
B: 	en rechts hebben die zo'n vvormig uitsteeksel met een klein staafje erin 
B: 	ja 
B: 	ja zo'n klein rond staafje wat wel gewoon verticaal omhoog steken 
B: 	dus er liggen een balk op 
B: 	oké 
B: 	ja zeggen maar naar voren toe ja 
B: 	soort van 
B: 	liggen eraan hoe je kijken 
B: 	ja oké 
B: 	ik denken het ook want de rest lijken er niet echt op 
B: 	nee 
B: 	oké 
B: 	ja 
B: 	ja die balk hebben volgens mij hebben de ander geen ja dit moeten hem wel zijn 
B: 	oké 
A: 	ok met die balk bovenop waar die liggen 
A: 	en hoe ik zeggen vorig keer van die van dat dun spiraal aan de of van die niet spiraal maar 
A: 	ja met dat superdun ding erop 
A: 	ja die die ja 
B: 	ja 
B: 	met die met dat raar trechter zo aan de voorkant soort van 
B: 	ja oké dat zijn E 
A: 	o jajaja 
A: 	ja ja ja 
A: 	ah even kijken één 
B: 	oké dit zijn met die vierkant hanenkam zeggen maar 
B: 	met dat blok er dan die balk erop 
B: 	ja 
B: 	ja dat dat soort trechterstaafje ding 
A: 	die raket met het paal beetje dat dun ding 
A: 	snapen je 
A: 	met dat dun ding wat jij raket noemen 
A: 	ja en Blok op zijn hoofd 
B: 	ja 
B: 	ja 
B: 	hier 
B: 	dat zijn E 
A: 	ja balk op zijn hoofd 
A: 	zestien 
B: 	dit zijn die met die ja vierkant balk hanenkam op zijn hoofd 
A: 	met die smal buis balk op zijn dat bovenop weten je wel 
B: 	ja 
B: 	even kijken waar die zijn 
B: 	dat zijn bij mij O 
