A: 	deze hebben aan de rechtkant een een cirkel die er zo recht op staat zo 
A: 	gewoon verticaal 
A: 	en aan de linkerkant zo'n staaf met nog zo'n 
A: 	een spijker erin ja een spijker 
A: 	ja zo'n beitel ja dat bedoelen ik ja 
A: 	ah ja ik zien hem al ja 
A: 	aan de rechterkant en dan links zijn weer die spijker 
A: 	okee 
A: 	dertien 
B: 	ja 
B: 	soort van snelwegrail 
B: 	of een kabel 
B: 	misschien wat vergezocht hoor maar 
B: 	ja nee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor m 
B: 	dit zijn dat kop met het dienblad aan de rechterkant 
B: 	en een soort van vangrail aan de linkerkant 
B: 	en zo'n gek spijker daarin zeggen maar 
A: 	deze zijn met dat cirkelt rechts en dan links die staaf met die spijker erop 
A: 	aan de rechterkant zitten dat cirkel zo horizontaal 
A: 	en dan links met die spijker waar we het over hebben 
A: 	ja 
B: 	ja even kijken dan gaan ik voor m 
A: 	aan de linkerkant 
A: 	ja vijfteen 
A: 	dit zijn met dat cirkelt rechtsvoor en dan links met dat met die spijker erop 
A: 	aan de rechterkant 
A: 	ja 
A: 	ja 
B: 	dit zijn de ober met zijn dienblad 
B: 	ja heel goed 
A: 	drie 
B: 	dienblad spijker door de vangrail ja helemaal goed dat zijn voor mij l 
B: 	de ober met het tafel aan één kant en spijker door vangrail 
