B: 	ik vinden dit best wel op een mens lijken 
B: 	een kop en dan twee ja afkappinkje aan de zijkant naar buiten die als oor kunnen dienen een staafje rechtsvoor 
B: 	met een dubbel onderop en een ja vierkant langwerpig dinge bovenop 
B: 	kijken maar naar dat vierkant langwerpig dinge bovenop 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	die ja 
A: 	liggen ja ok 
A: 	ja 
A: 	staafje ja dat zijn dan nummertje achten 
A: 	ja dit zijn eigenlijk ja met met dan zo'n balkje bovenop en aan aan de zijkant hebben hij een klein smal 
A: 	rond wat dan opeens wat groot worden en aan de voor en achterkant hebben hij dan ja rond wat langzaam weer ja dat buis wat langzaam groot worden ja 
A: 	ja 
B: 	een raket 
B: 	ja ja ja ja ja met dat vierkant dinge bovenop 
B: 	ja 
B: 	een hanenkam 
B: 	hanenkam vinden ik een goed 
B: 	E 
B: 	hanenkam 
A: 	ja 
A: 	ah ok ok dat zijn dan nummer één 
B: 	oeh oeh 
B: 	met de met de neus en de oor 
B: 	ja E 
A: 	ja dit zijn die raar weer met die met zo'n balk bovenop en dan aan de zijkant hebben hij dan zo'n smal ding die langzaam breder gaan en hebben hij ook aan de achterkant aan de zijkant ook ja 
B: 	de hanenkam 
A: 	ja ja en 
A: 	dat zijn dan nummertje zestien 
B: 	ja 
A: 	ja dit zijn die dan die balk die er bovenop liggen en dan aan de zijkant achter en voor hebben je smal naar breed 
A: 	en aan de zijkant hebben je nog één ah cirkeltje en dan worden het bread 
