A: 	ja 
A: 	tetrisblokje 
A: 	ja ja ook ja in zo'n 
A: 	ja 
B: 	alright deze die zijn een beetje deze hebben best wel veel verschillend object 
A: 	ja ik hebben hem dat zijn nummer twee 
B: 	je uitzien misschien op je scherm ook wel dat er een kop kop koffiekopje zijn die op een soort van onderzetter staan 
B: 	bij deze lijken het alsof die door de onderzetter heen zijn zakken 
B: 	en nou ja je hebben aan de aan de linkerkant zeggen maar een soort van haak 
B: 	bovenop lijken het soort van twee klein schoorsteen of hoe je het ook willen noemen en echt een beetje een slurfneus 
B: 	ik denken toch een beetje in gezicht dus 
B: 	ja 
A: 	deze hebben een vierkant halverwege zitten met een buis die erop uit komen en nog een kapstok aan de linkerkant en twee van die dinge erop twee rond staaf 
A: 	ja yes nummer zeven 
A: 	dit zijn die met het vierkant halverwege waar die cilinder op uitkomen en waar die jashaak hangen 
B: 	ja 
B: 	ja 
B: 	dat zijn g 
B: 	deze zijn door het onderzettertje heen zakken hebben een slurfneus en een haak aan de linkerkant 
A: 	ja dat zijn elf 
A: 	dit zijn met die vierkant halverwege en die twee klein dinge bovenop en die cilinder die erop uitkomen met die jassenhaak 
B: 	ja 
B: 	ja nou moeten ik ook zoeken waar zijn die door het door het plateau heen zijn 
B: 	ja precies 
B: 	p 
B: 	deze hebben een slurfneus zijn door zijn onderzetter heen zakken 
B: 	en hij hebben een haak 
B: 	dat zijn l 
