B: 	ja deze hebben de verrekijker 
B: 	hebben twee van die 
B: 	ja spijker op het hoofd 
B: 	plat plat ding 
B: 	B 
B: 	ja 
A: 	ja 
A: 	ja ja 
A: 	nummer twee 
B: 	ja G 
B: 	G dertien 
A: 	dit zijn dat komme met zeggen maar aan de voorkant een vierkan 
A: 	en dan aan de zijkant twee van die ja die die blok zeggen maar die zo erin steken zijn 
A: 	en dan bovenop nog de spijker of paddenstoel 
A: 	ja die 
B: 	dit zijn de verrekijker met zo'n antenne of zo'n hoedje 
B: 	ja 
B: 	B 
A: 	ja 
A: 	en het dinge bovenop 
A: 	zijn nummer negen 
B: 	ja D 
B: 	d zeven 
A: 	dit zijn die een zeggen maar die je aan de muur kunnen plakken 
A: 	met dat vierkan en dat paddenstoel erop 
B: 	deze noemen ik verrekijker met die antenne zo 
B: 	P 
B: 	P 
A: 	ja 
A: 	nummer één 
B: 	even kijken B 
B: 	B negen 
A: 	die een die je aan de muur kunnen plakken 
A: 	met het van dat vierkan en het spijker daarop 
