B: 	het zijn er zeggen maar één en die hebben twee soort van kralensnoert rechts en link 
B: 	echt de veel typisch die er zijn eigenlijk en dan rond schijf aan de voorkant 
B: 	precies ja 
A: 	ja 
A: 	ja die ruitjesachtig 
A: 	ja 
A: 	ja dat zijn vijf 
B: 	dat 
B: 	dienblad 
B: 	ja J 
A: 	ja dit zijn dat kop wat volledig op het plaat staan vierkant plaat 
A: 	met ja de ruitsprie aan de zijkant en het rond aan de voorkant en de boogjes 
B: 	het zijn zegmaar met die kralensnoert op dat dienblad 
B: 	B 
A: 	ja 
A: 	dat zijn elf 
B: 	met die kralending op dat dienblad 
B: 	L 
A: 	ja dit zijn diegene die op het plaat staan met de driehoek diaman 
A: 	en de rond aan de voorkant 
A: 	ja ja 
A: 	dat zijn negen 
A: 	dit zijn die op het op het plateau met die diaman aan de achterkant 
