A: 	oké 
A: 	deze hebben een bolle erbovenop en een soor arm aan de zijkant 
B: 	o ja volgens ja ik denken wel dat ik weten tenminste mij doen het beetje denken aan Bolpuntcom man ik weten niet of je het dan 
A: 	en zo'n 
A: 	ja precies 
B: 	ja ok dan zijn het denken ik wel dezelfde ja dan dat zijn bij mij in ieder geval D 
A: 	oké top 
B: 	o dan moeten ik eerst nog drukken 
A: 	ja 
A: 	ja met weer die armp 
A: 	ja nummer vijftien 
B: 	o dit zijn o dit zijn weer dezelfde beetje dat Bolpuntcom man waar het mij aan doen denken met die armp zo aan de zijkant en dat blok 
B: 	er voor 
B: 	ja ja 
B: 	ok bij mij K 
A: 	weer bolle bovenop met die armp zo en die lang staaf voorin 
A: 	oké 
A: 	ja 
A: 	ja 
A: 	waar zijn die ? nummer zes 
B: 	o die ok ja dat zijn bij mij L 
B: 	ja ja die ja 
B: 	ok 
A: 	deze zijn weer met dat bollet bovenop en die armp zo en de staaf ervoor 
A: 	ja 
A: 	nummer drie 
B: 	o wachten gaan ik weer even uitleggen 
B: 	ja dat zijn waar 
B: 	dit zijn het Bolpuntcom man met een blok voor 
B: 	ok bij mij M 
B: 	even kijken waar die zijn o daar J 
B: 	o 
B: 	het Bolpuntcom poppe 
B: 	ok bij mij A 
