B: 	nou 
B: 	d hebben ik omschrijven als ja de kralenketting zitten erbij 
B: 	en een soort zuignap op de voorkant 
B: 	en hij staan op een plateau 
A: 	ja 
A: 	ja 
A: 	soort kraal 
A: 	ja dus één maar dat zijn een rond toch 
A: 	ja ja ja dan weten ik hem zestien dat zijn zestien 
A: 	okee 
A: 	nou dat zien ik niet maar okee dat gaan we onthouden 
A: 	nu hebben ik diegene met die kraalt die zes kraal 
B: 	ja 
B: 	dat zijn M 
A: 	okee 
A: 	de kraalt zijn zeven 
A: 	deze zijn met de krael 
A: 	de kraalt zijn veertien 
B: 	kralenketting bak 
A: 	dit zijn met de krael 
B: 	ja B 
B: 	kralenketting staan op het plateau 
B: 	O 
