B: 	ok ja ik vinden het een beetje een soort van 
B: 	wasbak denken ik het zijn zeggen maar zo'n vierkant en er zitten twee van die boog en er zitten een soort van ton in en uit die ton komen van die spiraol 
B: 	het zijn gewoon zeggen maar een vierkant vlak en daarop staan het object 
B: 	ja zijkant 
B: 	ja ja 
A: 	ja ik hebben hem 
A: 	dat zijn nummer vijf 
B: 	ja ok 
B: 	die spiraol 
B: 	ok dat zijn J 
A: 	oké dit zijn degeen die op een soort van plaat staan met een één ja aan beide kant een soort drie bollet ik noemen dat zelf een beetje kraal 
A: 	yes helemaal goed 
B: 	ja dit zijn dan vierkant vlak met dat object erop en dan die spiraal 
B: 	ja dat zijn P 
A: 	yes 
A: 	dat zijn elf 
B: 	dit zijn dat vierkant vlak waar het dan op staat 
A: 	dit zijn weer op zo'n op zo'n soort van een een plat ja ik komen even niet op 
A: 	ja gewoon ja plateau inderdaad en dan met die kra zeggen maar 
B: 	ja dat zijn L 
A: 	oké 
A: 	die hebben ik op negen 
A: 	dit zijn weer op zo'n op zo'n plateau met dan de kraalt aan de zijkant 
