A: 	ja ja ja ja ja 
A: 	ja 
A: 	achten 
B: 	ok deze beschrijf ik eigenlijk gewoon als een balk bovenop horizontaal 
B: 	en wat daar er ver omheen zitten zijn allemaal een beetje vaag rechts zitten een 
B: 	klein pijpje en daaronder zitten een driehoekje achtig en link zitten een soort beker alleen op zijn kop 
B: 	ja 
A: 	dat zijn dit dat WALLEpoppet met dat hand met een buisje erop en zo'n blok bovenop 
A: 	twee van die ja soort van armp of zo aan de link rechts 
A: 	nee niet op de standaard 
A: 	nee met zo'n heel klein buisje die op een klein armpje staan 
A: 	de beker 
A: 	nee nee nee niet nee niet de beker 
A: 	nee dit zijn die jij zeggen WALLEpoppetje vinden ik een heel goed 
A: 	hij zijn best wel klein 
A: 	er steken niet zoveel uit eigenlijk 
A: 	ja 
A: 	precies 
A: 	die ja 
A: 	ja 
A: 	vijftien met de Eiffeltoren 
A: 	ja met met het cilindert bedoelen je 
A: 	ja 
A: 	ja 
A: 	oké zullen we die vanaf nu WALLE noemen 
A: 	en dan zijn de ander 
A: 	en dan zijn de ander de Eiffeltoren 
A: 	oké één 
B: 	ja dat zijn voor mij E 
A: 	WALLE 
A: 	met het cilindert 
A: 	gaan weer bijna fout 
A: 	ja 
A: 	zestien 
B: 	dit zijn met die balk bovenop en dat beker aan de zijkant op zijn kop 
B: 	ja 
A: 	WALLE 
A: 	ja helemaal linksonder 
A: 	ja 
B: 	ja dat zijn voor mij E 
B: 	dit zijn met die balk bovenop en die kop op zijn kop 
B: 	twee mooi kop 
B: 	dat zijn voor mij O 
