B: 	hebben het aan de voorkant een vierkant vlak 
B: 	o hij hebben hebben hij aan de achterkant een vlak 
B: 	o lijken het ook een beetje op een gieter of zo misschien 
B: 	nee 
B: 	hij hebben zeggen maar links een klein stuk eruit en rechts nog iets veel 
B: 	ook dan zijn het K 
A: 	oké deze hebben een soort van twee armp als een soort vliegtuigvleugels 
A: 	en nog een ding aan de achterkant 
A: 	en ja ik hebben die dat ding een beetje een rugzak noemen 
A: 	nee 
A: 	ja wattenstaafje zijn nog ik ja ik zien er een beetje vliegtuigvleugel in maar dan dan hebben jij hem wel geloven ik toch ? welk het zijn 
B: 	ok ja dit zijn de gieter met dat vlak dat je zo kunnen omklappen of zo 
B: 	ja 
B: 	ja 
A: 	nee dan zijn het net anders 
A: 	welk zijn het 
A: 	wachten even 
A: 	ja 
A: 	ja ja precies die ik de vliegtuig vleugel hebben noemen 
A: 	yes 
A: 	dat zijn negen 
B: 	ja dat zijn F 
A: 	dit zijn de Vliegtuigvleugels 
A: 	met het rugzak 
B: 	ja dit zijn die gieter met dat vierkan die ja kunnen klappen 
B: 	ja 
B: 	dat zijn L 
A: 	ja 
A: 	ja precies dat zijn drie 
B: 	ja dit zijn de gieter 
B: 	met dat ding dat je kunnen klappen 
A: 	dit zijn de vliegtuigvleugel en het rugzak 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	ja dat zijn vijf 
