A: 	ja 
A: 	ja en aan de linkerkant steken nog iets uit en aan de voorkant 
A: 	oké 
A: 	dan zijn het zes 
B: 	ja nu zijn ik weer het zijn ja eigenlijk het zijn zeggen maar het zitten eigenlijk zitten er een plaat in het midden 
B: 	en eigenlijk lijken het een beetje op een glijbaan 
B: 	tenminste ik zullen het en dan zitten er ja het zijn dat kop dus met de plaat in het midden 
B: 	en boven staan eigenlijk twee punt 
B: 	of twee streep eigenlijk 
B: 	zullen een 
B: 	ja 
B: 	ja 
A: 	dit zijn de met dat vlak erdoorheen 
A: 	en met die twee klein dinget aan de bovenkant 
A: 	ja oké 
A: 	dat zijn dertien 
A: 	ik hebben die met die plaat erdoorheen en die twee klein uitsteekselt boven 
B: 	ah ja 
B: 	C 
B: 	dit zijn die glijbaan 
B: 	ja 
A: 	ja 
A: 	ja dat zijn negen 
B: 	glijbaan waar zijn je 
B: 	ah 
B: 	J 
A: 	dit zijn die met die plaat erdoorheen en die twee klein dinge bovenop 
B: 	dit zijn de glijbaan 
B: 	ah ja 
B: 	ja 
B: 	N 
