A: 	ok deze hebben een soort piramide hoed achtig iets 
A: 	ja volgens mij wel ja hij hebben aan de voorkant nog best wel een groot figuur 
A: 	ok 
B: 	ja 
B: 	dan links hebben je dan nog een 
B: 	ja en dan onderin nog een rond zeggen maar 
B: 	ja dat zijn bij mij dan J 
A: 	ja dit zijn zes 
B: 	ik hebben nu die een met die ja piramide zeggen maar aan de bovenkant en dan ja ook weer een kubus die aan de voorkant uitsteken en 
B: 	ja ook weer zo zeggen maar een naaldding aan de 
B: 	ja 
B: 	en nog zo'n rond aan de 
A: 	o dit zijn met de piramide erop 
A: 	ok dat zijn tien 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij E 
A: 	dit zijn de piramide bovenop 
A: 	ja dat zijn tien 
B: 	nou hebben we weer die een met die met die driehoek bovenop zeggen maar en dat rond dan aan de onderkant en die kubus die uitsteken 
B: 	ja 
B: 	bij mij zijn dat G 
B: 	weer met die ja driehoek erboven zeggen maar en dan die kubus die uitsteken en dat rond zeggen maar links onderin 
B: 	met die driehoek aan de bovenkant 
