A: 	oké hij hebben twee van die deegrol hand handvaten eraan zitten één gaan naar links en de ander gaan recht omhoog 
A: 	dus één deegrolhandvat recht omhoog 
A: 	één gaan naar link 
A: 	en rechts zitten er een soort van steeds klein wordend vierkan richting het midden 
A: 	en ook nog een raar ding naar linksachter 
A: 	ja 
A: 	dan zijn het elf E 
A: 	dan gaan we die vanaf nu deegrol noemen 
A: 	deegrol 
B: 	oké event kijken 
B: 	kunnen je nog iets veel beschrijven 
B: 	even 
B: 	plat kant 
B: 	nee ik denken dat ik dit heel anders hebben beschrijven toen 
B: 	even kijken 
B: 	welk vormp hebben die op zijn hoofd 
B: 	ja oké 
B: 	oké helemaal in het midden bovenop 
B: 	of niet 
B: 	ja en aan de zijkant zeggen maar zijn zo'n vierkant en dat gaan dan steeds klein zeggen maar 
B: 	ja 
B: 	E 
A: 	oké 
A: 	moeten ik hem eerst vinden 
A: 	F 
A: 	F elf 
B: 	oké deze hebben zeggen maar Hierbovenop veel zo'n waterdruppel 
B: 	en aan de zijkant ook een waterdruppel 
B: 	ja 
A: 	deegrol 
A: 	drie 
A: 	ja 
A: 	negen H negen 
B: 	even kijken 
B: 	ja met die hier en hier 
B: 	ja 
B: 	J 
B: 	die met die druppel hier en druppel hier en dan die blok zo aan de ander kant 
A: 	mijn deegrol 
A: 	twee 
A: 	dus deegroller 
A: 	E vier 
B: 	ja 
B: 	even zoeken 
B: 	ja 
B: 	die druppel boven en aan de zijkant en aan de ander kant die blok 
