A: 	ja en op dat ja ik vinden het een tafel die wat zo optilen 
A: 	daar staan een soort van bak op zeggen maar 
A: 	oké ja dat zijn nummer zestien 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	dit zijn dit zijn eigenlijk de hier lijken het net of er een tafel doorheen zitten 
B: 	met een bak erbovenop 
B: 	ja 
B: 	zo'n kuifje ja 
B: 	bloempot 
B: 	even kijken 
B: 	ja er staan twee punt streepjes 
B: 	zullen ik 
A: 	dit zijn dat met dat tafel waar dat saladebak op staat 
B: 	het zijn niet die cactus nee 
B: 	dat het zijn gewoon dat er een soort plank in het midden 
B: 	die ah ik zien het volgens mij al 
B: 	een klein stuk 
B: 	ja ja ja 
B: 	dat zijn P 
B: 	ja wat zeggen je die plantenbak met dat ding er 
B: 	ja 
B: 	ja ja ja 
A: 	ja dat zijn met dat saladebak 
A: 	even kijken waar die staan 
A: 	ja 
A: 	en een beetje in het midden ja 
A: 	dat zijn nummer veertien 
B: 	plantenbak 
B: 	moeten ik even kijken waar die staan 
B: 	ah dat zijn N 
B: 	ja dit zijn die plantenbak 
A: 	dit zijn het tafel met het saladebak 
A: 	ja ik ook 
A: 	ja 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer tien 
B: 	de bloempot 
B: 	oké 
B: 	ah ja 
B: 	D 
A: 	dit zijn het of het tafel met saladebak 
A: 	en hij staan bij mij in het vak rechtsboven 
