A: 	even kijken ik hebben een groot driehoek erbovenop staan 
A: 	en aan linkerkant een uitsteeksel dat steeds breder worden 
A: 	linksonder een blauw rond 
A: 	en rechts ook een uitsteeksel wat 
A: 	ja zoiets 
A: 	de steeds bred worden 
A: 	ja 
A: 	een 
A: 	ik hebben die een met die driehoek bovenop 
A: 	en die kogel aan de linkerkant 
B: 	ja 
B: 	misvormde kubus 
B: 	ja bovenop een driehoek 
B: 	ja 
B: 	ja dat zijn I 
A: 	ja 
A: 	zeven 
A: 	ik hebben die pyramide bovenop en de kogel 
A: 	en de kogel links 
B: 	deze hebben een driehoek bovenop 
B: 	en ja klein cirkel linksonder 
B: 	ding , spijker , kogel ja 
B: 	ja kogel ja 
A: 	ja de kogel 
A: 	vijfteen 
B: 	en een kogel links 
B: 	J 
B: 	deze hebben zo'n scherp driehoek bovenop en een kogel links 
B: 	kogel 
B: 	A 
B: 	deze hebben de scherp driehoek bovenop en een kogel links 
