B: 	hier hebben je soort van een ja tafel rechthoek vierkant ding dwars onder de emmer 
B: 	het lijken een beetje alsof er tafelpot aan zitten 
B: 	en daarop staan een soort van Trechterachtig hoekig trechterachtig dinget 
B: 	en daarachter komen een tui uit uit de emmer 
B: 	even kijken ja je hebben je emmer 
B: 	en daar zitten een soort vierkant doorheen 
B: 	en daar komen twee poo uit 
B: 	of twee 
B: 	ja uit het vierkant 
B: 	dat door de emmer heen is de dat zijn ongeveer op drievirie hoogte gaan er een soort van een vierkant door de emmer heen 
B: 	ja 
B: 	f 
A: 	ja klein 
A: 	ja 
A: 	uitsteeksel en dan bovenop de tafel daar zitten een soort van trapezium omgekeerd 
A: 	ja 
A: 	dat zijn zes 
B: 	deze hebben het tafel wat door de emmer heen zijn met de twee poo 
B: 	en 
B: 	drievirie hoogte gaan hij dwars door de emmer heen 
B: 	ja 
A: 	even kijken 
A: 	dit zijn de kopvorm waar er als het zijn die tafel er half in zitten 
A: 	ja 
A: 	ja en de aan de linkerkant het 
A: 	yes 
B: 	ja dat zijn 
B: 	where did it Go 
B: 	ja h 
B: 	de tafel 
A: 	ja even zoeken waar die staan 
A: 	dat zijn vier 
B: 	d 
A: 	dit zijn die met de tafel erin met het gek trapezium 
A: 	ja en trapezium 
A: 	drie 
A: 	dit zijn die met de tafel erin 
A: 	met de trapezium 
