B: 	deze vinden ik heel erg vaag 
B: 	je hebben dat bak en dan aan al twee de zijkant hebben die een soort van uitlaat 
B: 	en er komen aan de voorkant een soort van driehoekje uit wat kunnen lijken op een boek 
B: 	en uit dat boek komen weer een staafje naar boven 
B: 	op het beker zelf liggen een balk 
B: 	een klein een klein balk 
B: 	oké zullen ik het nog een keer doen en kijken of je ? oké 
B: 	er komen aan al twee de zijkant maar de een kunnen je heel slecht zien komen een soort van twee uitlaat uit 
B: 	ja 
B: 	en er zitten een boek aan de voorkant of een driehoekje aan de voorkant 
B: 	en uit dat driehoekje komen een heel klein staafje naar boven 
B: 	en op de bovenkant liggen een klein balkje en die liggen voor jou zo denken ik 
B: 	ja 
A: 	ja precies en dan zo'n soort bezemp 
A: 	aan de ander kant ja 
A: 	dat zijn acht voor mij 
B: 	ja 
B: 	moeten hem even zoeken 
B: 	jij vinden dat een hanenkam 
B: 	ja ja 
B: 	letter E 
A: 	dit zijn die met ja de horizontaal balk bovenop en de de bezem 
B: 	deze vinden ik raar hij hebben twee van die uitlaa 
B: 	hij hebben dat balkje op zijn op de bovenkant 
B: 	en ik zeggen dat er een boek op zitten met een staafje dat eruit komen 
B: 	jij vinden het op iets ander lijken maar dat kunnen ik me even niet 
B: 	ja Hanenkam 
A: 	die zijn voor mij yes dat zijn één voor mij 
B: 	ja 
B: 	letter E 
A: 	ja dit zijn de de schoonmaakrobot met de bezem en de dat ding bovenop 
A: 	yes 
A: 	dat zijn zestien voor mij 
B: 	dat zijn die een die jij op een hanenkam plaatsvinden lijken 
B: 	ja 
A: 	dit zijn de schoonmaakrobot 
B: 	ja 
B: 	yes 
B: 	letter O wachten met de hanenkam 
B: 	een boek wat ik wat ik wat ik vinden dat het een boek zijn als een 
B: 	ja ja ja en hij hebben twee van die uitlaat 
B: 	oké 
B: 	letter O 
