A: 	even kijken horen 
A: 	ja en zitten er ook nog zeggen maar zo'n ding 
A: 	ja 
A: 	zes 
B: 	oké 
B: 	even kijken 
B: 	dit zijn zeggen maar aan de zijkant zitten een een steel die zo omhooggaat zeggen maar 
B: 	ja ja zo als alsof je je arm zo hebben 
B: 	ja ja ja 
A: 	volgens mij omschrijven jij die als glijbaan 
B: 	ja die ja ja 
B: 	C 
A: 	waar staan je ook alweer eens ? glijbaan glijbaan glijbaan waar staan je ook alweer eens 
A: 	waarom zien ik hem nou niet ? ja met die driehoek erboven ja 
A: 	zes 
B: 	nu hebben ik die weer met met dat hand zo 
B: 	en met links bovenop of met met bovenop zo'n twee streep 
B: 	ja 
A: 	de glijbaan 
A: 	ons eigen taal ontwikkelen 
B: 	ja 
B: 	J 
B: 	die met die arm zo en die slurf 
A: 	ja 
A: 	negen 
A: 	de glijbaan 
A: 	je weten nog welk het zijn 
A: 	oké 
