A: 	ja ik vinden dit een beetje lijken op een poppe met zo'n feestmuts zeggen maar 
A: 	gewoon eigenlijk dat noemen je het 
A: 	ja hij hebben linksonder zo'n rond ja en ik denken 
A: 	zo'n ja raar uitstulpingding 
B: 	ja 
B: 	en dan hebben die nog zo'n staart en nog een blok 
B: 	ja oké dan zijn het J 
A: 	ja ik zien hem 
A: 	nummer zes 
A: 	dit zijn die met de feestmuts 
B: 	dit zijn die met dat piramide op zijn hoofd die het rond hoedje 
B: 	ja 
A: 	even zoeken waar die zijn 
A: 	ja nummer tien 
A: 	het feestmuts 
B: 	dat zijn E 
A: 	even kijken ja nummer tien 
B: 	dit zijn met dat met dat hoed dat driehoekje op zijn hoofd 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn met het het driehoekig hoed 
