B: 	ik hebben ja het zijn een soort van tafel of zoiets wat een beetje zo half uitsteken met van die poo 
B: 	een soort van plank 
B: 	met poo die zo uitsteken en dan een soort van omdraaien 
B: 	ja 
B: 	yes 
A: 	ja en met zo'n bak erop 
A: 	ja dat zijn nummer zestien 
B: 	ja 
B: 	yes dat zijn P 
B: 	ja 
A: 	dat tafel 
A: 	met het bak erop 
A: 	nee nee nee die een met het tafel met die poot en dan dat bak erop 
B: 	oké ik hebben weer dat soort van tafel 
B: 	zo blijven ik het noemen 
B: 	met die poot en dan die omdraaien piramide 
B: 	oké 
A: 	met de poo 
A: 	ja 
A: 	dat zijn nummer veertien 
B: 	weten ik niet ik weten niet of dat wisselen elk ronde 
B: 	echt 
B: 	jee daar hebben ik niet op letten 
B: 	daar hebben ik echt niet op letten 
B: 	oké ik kunnen het nu wel onthouden 
B: 	yes waar staan die ? N bij mij 
A: 	dit zijn met dat tafel 
A: 	met die twee poo en het bak erop 
B: 	weer dat plank of dat tafel met die poo 
B: 	en die piramide 
A: 	nieuw 
A: 	ja dat zijn nummer tien 
B: 	ja ja dat zijn d bij mij 
A: 	tafel met de twee poo en het bak 
