A: 	dit zijn de mok met een driehoek 
A: 	die komen er linksbof uit 
A: 	aan de linkerkant zitten een soort van kno die je bijna aan en uit zullen kunnen zetten 
A: 	aan de onderkant lijken een soort linksonder een soort van rond te zitten een soort wiele 
A: 	en er komen een soort van blok uit zijn uit het kop het lijken een beetje op een soort van neus 
A: 	nee niet helemaal nee hij hebben echt als je vooral let op die soort van piramide zeggen maar linksbof die uit het kop komen 
A: 	dat hebben al ander vorm eigenlijk niet 
A: 	en link zitten een soort van prikker zeggen maar die 
A: 	nee die 
A: 	ja 
B: 	een soort punt ja ik hebben deze geloven ik punthoofd en er zitten een soort vierkant neus 
B: 	zitten er inderdaad een soort kogel waar waar alleen de punt er van in zitten 
B: 	ok J 
A: 	dat zijn makkelijk 
A: 	ja 
A: 	ja dat zijn nummer zes hier 
B: 	met een soort puntmuts op ? kogel in zijn aan de zijkant 
B: 	en vierkant neus 
B: 	ja ja piramide op zijn hoofd 
B: 	ah 
B: 	ja met die vierkant neus en die kogel ja E 
A: 	dit zijn de mok met driehoek 
A: 	die soort van piramide die linksbof staan waarvan jij zeggen dat die verschillend kleur hebben 
A: 	nou die 
B: 	kogel met het piramide hoofd piramide op zijn hoofd 
B: 	met vierkant neus 
A: 	ja 
A: 	nummer tien 
A: 	ja 
B: 	o ja bij mij ook vierkant neus G 
B: 	kogel en piramide hoofd 
A: 	dit zijn de mok met jou piramide link bovenop die verschillend kleur hebben 
A: 	die 
A: 	ja 
A: 	nummer tien 
