A: 	oké 
A: 	ik zullen dit stuk beschrijven als een soort van kop met een 
A: 	rond handvatje waar een soort van staaf doorheen zijn steken 
A: 	oké 
A: 	en er zitten ook nog weer zo'n soort van konijnenoor aan vast maar die zitten aan de achterkant 
A: 	ja 
B: 	oké nou hebben jij 
B: 	ja ja ja 
B: 	en zijn aan de ander hebben die aan de bovenkant twee dinget 
B: 	bovenop 
B: 	oké even kijken 
B: 	ja wachten zo'n toeter ja 
B: 	het zijn het zijn zeggen maar zo'n bol met zo'n staaf erdoorheen 
B: 	en dan zo'n cirkel eraan 
B: 	oké 
B: 	F 
A: 	ja dat die staaf erdoorheen even zoeken hoor ja dit zijn vijf 
B: 	nu hebben ik weer die die toeter zeggen maar en dan bovenop 
B: 	ja 
A: 	dit zijn die met de neuspiercing 
A: 	dat zijn vijf 
B: 	ja 
B: 	A 
A: 	de neuspiercing 
B: 	die met die toeter weer en die dat blaad 
A: 	dat zijn vijftien 
B: 	ja 
B: 	H 
B: 	die toeter en die de appelblaadje 
