A: 	deze hebben twee rechthoekig staaf die er rechts naar binnen gaan 
A: 	en aan de bovenkant een groot pion zeggen maar 
A: 	ja die steken erin zeggen maar 
A: 	en dan en dan 
A: 	linksonder zitten nog nog een minifiguurtje zo'n zo'n soort van komma weer die eruit steken 
A: 	en daar iets boven zitten nog zo'n recht ding ja 
B: 	ja 
B: 	ja ik denken dat ik wel weten welk je bedoelen 
B: 	ja ja 
B: 	ik gaan voor p 
A: 	ja 
A: 	ja dan weten ik al welk het zijn 
A: 	zes 
A: 	deze zijn waar we net zo lang uitleg over hebben want die vinden we moeilijk waar twee identiek staafjes aan de zijkant zitten en zo'n zo'n blok bovenop 
A: 	ja Linksonder zitten nog zo'n kommavorm zeggen maar weer 
A: 	ja zo'n kromming 
A: 	ja daarboven 
A: 	ja 
B: 	nou deze die zoals jij hem omschrijven hebben hij bovenop hebben hij een soort driehoekje die afkapten zijn 
B: 	aan de zijkant rechts twee la 
B: 	en aan de ander kant een een haak naar links toe en weten ik veel twee armp een armpje 
B: 	ik weten het niet 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	gaan ik voor g 
A: 	ja wachten ik weten welk je bedoelen 
A: 	ja drie 
A: 	dit zijn met die twee identiek vorm aan de aan de rechterkant en dat bak bovenop 
A: 	ja 
A: 	elf 
B: 	dan de driehoek die afkapten zijn aan de bovenkant 
B: 	aan de zijkant twee la 
B: 	en haakvormig uitstekel onderaan 
B: 	ja 
B: 	dat zijn e 
B: 	afgekapte pyramide 
B: 	met la aan de aan de de rechterkant twee 
B: 	haakvormig dinge aan de linkerkant 
