B: 	zo'n ruit 
B: 	ja 
B: 	en dinget eruit 
B: 	ja 
B: 	en aan de onderkant 
B: 	ja ja dat zijn M bij mij 
A: 	deze staat op een voet eigenlijk 
A: 	en hij hebben een twee van die driehoek bovenop 
A: 	en aan die twee driehoek zitten nog twee ding naar de zijkant 
A: 	zien je dat 
A: 	en hij staan niet per se op een voetstuk maar echt een soort een soort echt een voet een menselijk voet zeggen maar met een enkel en dan een voet 
A: 	en hij hebben bovenop aan de achterkant 
A: 	twee van die ruit ja 
A: 	ja en dan aan die twee ruit zitten nog twee ding naar de zijkant 
A: 	oké 
B: 	ja toch 
B: 	weer die met die sellight achterop 
B: 	met met die sellight dat ruit dat ruit dat er een soort van in zitten met die met die legoblokjes die er zo 
B: 	en met dat toe en dan zo zo'n arm van onder 
B: 	ja 
B: 	oké 
A: 	waar staan die ? waar staan die 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	oké 
B: 	yes en dan dat haak zo eronder 
B: 	de H bij mij 
A: 	met dat voe en die vliegtuigvleugels op de achterkant 
B: 	dan weer de space station 
B: 	met de armpjes 
A: 	dat zijn nummer elf 
B: 	space station dat zijn de D 
B: 	worden zo snel 
A: 	de een met het voe en de Vliegtuigvleugels 
B: 	weer de space station 
A: 	ja dat zijn veertien 
