A: 	ja en nu hebben ik hem inderdaad 
B: 	ja hebben hij dan ook nog zo'n klein pluk bovenop 
A: 	ja ik vinden deze een beetje lijken alsof die een soort van neus hebben 
B: 	ja dan zijn het F 
A: 	omdat die hij hebben zo'n ronde ja bobbel zeggen maar aan de voorkant 
A: 	dus dan hebben je er als het goed zijn nog maar twee 
A: 	en deze hebben er een soort van staaf doorheen 
A: 	ja door die bobbel zijn dat heen 
A: 	die bobbel 
A: 	ja ja 
A: 	ja 
A: 	ja 
A: 	en daar zitten dan zo'n staaf doorheen met nog een een soort van punaise zitten erdoorheen 
A: 	en hij hebben 
A: 	ja 
A: 	ja door het ei inderdaad niet door 
A: 	ja 
A: 	soort van kuifje zitten er nog bovenop 
A: 	ja 
A: 	ja inderdaad ja 
A: 	ja 
A: 	ja 
B: 	ja dit zijn weer eigenlijk die met die neuspiercing met die met die bol neus en dan dat ding er doorheen pluimp bovenop 
A: 	ja dat zijn vijf 
B: 	ja dat zijn dan A 
B: 	dit zijn weer die neuspiercing 
B: 	en als je alles in in wacht 
B: 	ja 
A: 	dit zijn die doorboorde ei 
A: 	met dat appelblaad 
A: 	ja 
A: 	ja ik beginnen even te 
A: 	dat zijn vijf 
B: 	ja dat zijn dan H 
A: 	dit zijn weer die doorboorde ei 
B: 	ik krijgen nu de neurpiercing 
A: 	ja dat zijn vijftien 
