A: 	even kijken dit zijn weer zo'n kop aan de rechterkant hebben dat een plat cirkel 
A: 	je zien hem aflaten maar zeggen van het zijaanzicht 
A: 	en aan de linkerkant hebben hij een best wel breed uitstulpsel en daar die trekken helemaal naar boven toe , het zijn eigenlijk een soort pion op zijn kop 
A: 	weten je wat ik bedoelen 
A: 	oké 
A: 	aan de linkerkant hebben je één 
A: 	ja die hebben je die steken helemaal naar link 
A: 	en 
A: 	en dan gaan hij opeens helemaal omhoog 
A: 	oké 
B: 	ja 
B: 	ja 
B: 	soort van een soort 
B: 	zo'n zo'n zo'n zo'n zo'n beitel 
B: 	ja okee 
B: 	ja 
B: 	dat zijn p 
A: 	even kijken een plat cirkel zeggen je waar zitten die 
A: 	even kijken 
A: 	je bedoelen die 
A: 	ja 
A: 	nummer twaalf 
B: 	ja deze zijn die de de een soort van ja een een een liggen cirkel laat maar zeggen of platgedrukken cirkel aan de zijkant steken die uit 
B: 	waarbij dus 
B: 	ja 
B: 	hebben je hem al 
B: 	aan de rechterkant 
B: 	ja die spijker ja 
B: 	ja 
A: 	dit zijn die we al eerder hebben hebben , het gaan naar links en daar boven gaan hij helemaal naar boven 
A: 	hij steken hem uit 
A: 	ja 
B: 	okee dat zijn niet heel veel cirkel 
B: 	okee wachten even en de de 
B: 	ja 
B: 	ja ja ja 
B: 	ah ja ja en de daar die staan die spijker staan op zo'n ding 
B: 	ja okee 
B: 	ja dat zijn j 
A: 	ja even kijken 
A: 	nummer twee 
A: 	oké dit zijn weer die die hebben dan links een uitstulpsel en van daar die gaan dan vanuit links helemaal naar boven , een soort pionachtig 
A: 	iets op zijn kop 
B: 	deze zijn met die spijker 
B: 	ja 
A: 	ja die met dat uitsteeksel 
A: 	oké nummer een 
B: 	okee dat dat cirkeltje zitten aan de voorkant aan de 
B: 	ja ja precies en dan hebben je dat rechthoek en dat dat kegelt 
B: 	okee dat zijn à 
B: 	spijker 
