A: 	ja het hebben zullen ik maar zeggen twee heel ongelijk vlaggenmast alsof je één lang paal en een kort 
A: 	en zo'n schuin dakje er of zo achter achter die 
A: 	ja ja 
B: 	ja ja 
B: 	ja ik hebben echt geen idee wat ik daaraan moeten koppelen echt geen idee ik hebben zoiets van het lijken een beetje op een wattenstaafje denken ik zo maar goed in ieder geval 
B: 	ja ik dat dat denken ik wel dat zijn K 
A: 	de waar met dat schuin dakje wel dan nu 
A: 	oké dat zijn negen 
B: 	het zijn poeh de parasol volgens mij 
B: 	wat ik noemen wattenstaafje 
B: 	met die soort van arm met die bollet aan de buitenkant 
B: 	vliegtuigvleugels dat bedoelen ik ja 
A: 	weten ik niet 
A: 	dit dit zijn die een met die twee 
A: 	uitsteeksel met dat schuin dakje waar die niet al twee even gelijk zijn 
A: 	ja wachten even zoeken 
A: 	zijn ik nou blind of waar 
A: 	daar 
A: 	met dat een raar dakje er nog zo 
A: 	ja 
A: 	nummer drie 
B: 	ja 
B: 	ja ja ja F 
A: 	dit zijn weer dat met die twee ongelijk staf met dat schuin dakje 
B: 	dit zijn de vliegtuigvleugels zeggen jij als het goed zijn met die tas op de rug 
A: 	ja met dat schuin dakje zo 
A: 	nummer vijf 
B: 	ja even zoeken 
B: 	ja L 
B: 	dit zijn de vliegtuigarm 
B: 	weten niet veel wat je zeggen tasje op de rug 
