A: 	ja 
A: 	daar zijn er alleen weer twee van 
A: 	één waarbij die er heel diep in zitten en één waarbij die er maar een klein beetje in zitten bij mij 
A: 	degeen waarbij die er heel diep in zitten hebben een soort van bak nog ervoor 
A: 	en degeen die waarbij die er maar niet zo diep in zitten hebben een soort van staaf en een handvat aan de linkerkant 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	oké 
B: 	even kijken 
B: 	dit zijn zeggen maar aan de zijkant zitten een een steel die zo omhooggaat zeggen maar 
B: 	ja ja zo als alsof je je arm zo hebben 
B: 	ja ja ja 
A: 	dit zijn de iets weinig diep wasbak 
A: 	met de met dat handvat link zeggen maar 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	ja die ja ja 
B: 	C 
A: 	dit zijn de niet zo diep gootsteen met het handvat aan de linkerkant 
B: 	nu hebben ik die weer met met dat hand zo 
B: 	en met links bovenop of met met bovenop zo'n twee streep 
B: 	ja 
B: 	ja 
B: 	J 
A: 	even zoeken ja dat zijn negen 
A: 	dit zijn de niet zo diep gootsteen met de hendel links 
B: 	die met die arm zo en die slurf 
