A: 	het kop aan beide kant hebben je een soort staafje aan maar dat stoppen met een bolle of een ja niet een helemaal rond bollet , maar aan beide kant , aan de een kant rechterkant zijn groot of 
A: 	hebben je hem 
A: 	ja aan de bovenkant zitten een soort vierkant verstoppen 
B: 	soort van pedaal 
B: 	okee 
B: 	ja ja ja voor de rest kunnen je hem volgens mij ook niet echt omschrijven 
B: 	dat zijn vrij vrij basic deze 
B: 	ja 
B: 	dan zijn het m 
A: 	ja snapen ik 
A: 	ja 
A: 	oké en zijn daar achter zitten ook een soort vierkantje verstoppen 
A: 	oké 
A: 	nummer zes 
B: 	deze zijn die dat dat pedaal weten je wel 
B: 	die die dat soort van 
B: 	met die met die twee kegel aan de zijkant 
B: 	ja met die stang doorheen ja 
B: 	ja 
A: 	oké deze hebben aan beide kant iets uitsteken , aan de rechterkant zijn hij iets lang dan aan de linkerkant en er zijn een soort plat bollet 
A: 	met die plat rond en die een die iets groot zijn dan die ander 
A: 	oké nummer achten 
B: 	ja ja ja 
B: 	ja dat klein staaf aan de linkerkant en aan de rechterkant die steken iets ver uit 
B: 	ja okee dat zijn p 
A: 	deze hebben aan beide kant een uitstulpsel , de een kant zijn iets groot dan de ander kant en dan een soort plat bolle erop 
B: 	dit zijn die dit zijn dat wel met dat pedaal weten je wel 
B: 	en die twee kegel aan de aan de onderkant 
B: 	ja 
A: 	even kijken 
A: 	die aan de buitenkant steken bedoelen je 
A: 	met die uh , nummer tien 
B: 	sorry 
B: 	Ah okee ja ja ja 
B: 	dat maken niet uit 
B: 	dat zijn l 
B: 	dit zijn de het pedaal met de kegel 
