A: 	er zijn twee ja handvaten zeggen maar 
A: 	één verticaal bovenop staan en en de ander die er link een beetje uitkomen 
A: 	dan hebben je ook nog vier kubus die soort van in elkaar zitten aan de rechterkant 
A: 	die eruit steken 
A: 	ja 
A: 	achter zijn er een slurf ja 
B: 	even kijken ik hebben hem nog niet 
B: 	zitten een groot lepel in het midden 
B: 	ja 
B: 	ja 
B: 	en link zitten ongeveer dezelfde staaf lijken er een beetje op 
B: 	en achter zitten een raar staart geval 
B: 	oké H 
A: 	zeven 
B: 	een pixelachtig ding aan de rechterkant 
B: 	soort van lepel in de kop 
B: 	en het voelen alsof link dezelfde soort figuur ook zitten 
B: 	aan de achterkant soort van staart 
B: 	dus twee keer hetzelfde figuur , één keer alsof het in het kop gaan 
B: 	en een keer aan de linkerkant een beetje aan de schuin onder 
B: 	ja 
B: 	die steeds breder worden 
B: 	ja 
A: 	deze hebben twee handvaet één die rechtop op de bovenkant staan en één die link eruit komen 
A: 	en aan de rechterkant van de emmer zijn nog kubus die zo klein worden 
A: 	sorry nog een keer 
A: 	ja 
A: 	ja 
A: 	zullen we die theekop noemen 
A: 	zes 
A: 	zes 
B: 	ja 
B: 	ja twee gelijk figuurt 
B: 	van Bovenin en Linksvoor 
B: 	zijn ongeveer gelijk vorm 
B: 	ja oké 
B: 	F 
A: 	dit zijn de theekop 
B: 	twee dezelfde rond vormp , één bovenop en één linksvoor , pixelachtig ding aan de rechterkant , en een slurfje naar achter lopen 
A: 	zeven 
B: 	ja 
B: 	E 
B: 	twee gelijk vorm , boven en Linksvoor 
B: 	ja 
