B: 	en zeggen maar één zijn een isteken aan de zijkant 
B: 	ja 
B: 	I 
A: 	ik ja het goed kunnen je hem een beetje misschien wel met een één zo'n ouderwets adopter of lader of stekker of als je naar Engeland of iets toe gaan zeggen maar zo'n stekker 
A: 	of één en hij lijken ook wel een beetje op een fietsenlamp een heel klein beetje 
A: 	er zitten nog zo'n dinge bovenop en dat zakken dan af 
A: 	ja die adapter hebben we twee adapter of één 
A: 	in ieder geval die adapter met die een beetje dan zo afloopt 
A: 	ja precies waar de kop eraf zijn zijn afbrokkelen ja 
A: 	twee 
B: 	het zijn weer die met dat isteken aan de zijkant 
A: 	dat zijn die oud adapter 
B: 	ja 
B: 	M 
A: 	ja 
A: 	negen 
B: 	die met dat isteken 
A: 	de oud adapter 
B: 	F 
B: 	de istek 
A: 	ja 
A: 	zes 
