A: 	ja dit zijn bij mij ja ik hebben het omschrijven als één als een soort boei of zo 
A: 	dit zijn van die zo'n emmer en dan zien je daarachter die zo'n 
A: 	ja zo'n zeshoekig staaf en aan beide kant zo'n rond ei erop 
A: 	ja zo'n plaat met zo'n 
A: 	ja 
B: 	o ja 
B: 	o ja dan weten ik wel wat het zijn tenminste een beetje zo'n van honkbal een beetje achtig maar dan iets ja een beetje met fantasie ja 
B: 	ja 
B: 	ok 
B: 	ja dat zijn bij mij K 
B: 	ok 
A: 	wachten even 
A: 	met die ja ja oké 
A: 	dat zijn negen 
A: 	ja aan de achterkant zitten nog dat plaat 
A: 	ja negen 
B: 	dit zijn die die wat mij een beetje doen denken aan een honkbal met fantasie en dus die twee rond met daar omheen weer een rond 
B: 	en dat dinge er achter 
B: 	ja 
B: 	ja ja 
B: 	ja 
B: 	bij mij B 
A: 	ja dit zijn die zeshoekig staaf met die twee rond aan de uitein 
A: 	en het plateaut aan de achterkant 
A: 	ja 
B: 	even kijken waar die staan o hier ja F bij mij 
B: 	ok 
B: 	o dan moeten ik klikken 
A: 	wachten even 
A: 	die staaf 
A: 	wachten even jee 
A: 	ah die zo met die met die rond aan de 
A: 	ja 
A: 	en die dat plateaut 
A: 	ja 
A: 	ja dat zijn drie 
B: 	dit zijn een beetje die honkbal met dat dinge en die vierkant er achter een beetje ja 
B: 	ok K 
A: 	ja dit zijn die zeshoekig staaf met die twee rond op de zijkant en dat plaat achter 
A: 	de staaf met de 
A: 	klinken ook zo lekker 
A: 	waar staan die 
A: 	hij zijn daar 
A: 	vijf 
B: 	even kijken waar die zijn o hier L 
B: 	dit zijn de honkbal ding 
B: 	ja inderdaad dat zijn weer even helemaal opnieuw oriënteren 
B: 	ok 
