B: 	ja 
B: 	ja 
B: 	ja het lijken een beetje op een tent daarboven 
B: 	oké 
B: 	ja 
B: 	het zijn een het zijn J 
A: 	deze hebben een best wel hoog driehoek op de bovenkant van het kop en een heel klein 
A: 	die ook een beetje rond zijn aan de linkerkant 
A: 	en een soort wiel onder de kop 
A: 	en dan zitten er nog een een vag vorm ervoor zeggen maar 
A: 	die ja een vliegerachtig iets 
B: 	dit zijn diegene met die driehoek aan de bovenkant en die pijl die er zo in gaan 
A: 	de vlieger ja 
A: 	zes 
B: 	ja dat zijn E 
B: 	oké ik hebben die met de driehoek erop 
B: 	en zo één klein dinge erin 
A: 	dit zijn met die vlieger erop 
A: 	en de driehoek erboven en 
B: 	ja 
B: 	dat zijn G 
A: 	ja ja 
A: 	tien 
B: 	oké ik hebben diegene met die piramide die driehoek aan de bovenkant en zo de pijl daarin aan de zijkant 
A: 	dit zijn de vlieger 
A: 	met dat wiel aan de onderkant 
A: 	tien 
