B: 	deze hebben eigenlijk ook een soort plateau om zich heen maar dat kunnen je niet heel goed zien tenminste je kunnen niet echt van bovenop er op op opkijken 
B: 	er liggen dan ook een soort bak op twee poot die uitsteken en achterop hebben je nog zo'n zo'n krul ding bovenop 
A: 	een zo'n bak 
A: 	ja dan weten ik 
A: 	dan zijn het bij mij nummer 
A: 	echt zo'n soort dienblaad of zo ervoor met met zo'n bak erop of zo 
A: 	oké dat zijn bij mij nummer zestien 
B: 	en dat bak dat lopen lopen af 
B: 	die poot of zo 
B: 	ja dan zijn dat P 
A: 	ik hebben er nu één met dat blad ervoor met dat bak erop zeggen maar 
A: 	dat soort vierkant bak 
A: 	ja die soort tafel ervoor 
B: 	dit zijn zeggen maar weer die een met dat plateau dat redelijk bovenin zitten die twee dinget die er onderuit steken en die soort bak die er op staat en dan hebben je achterop nog zo'n krullen aanhangsel 
A: 	ja dat dat tafel met die twee poot zeggen maar en dat komen dinge 
A: 	ja 
A: 	dat zijn bij mij nummer veertien 
B: 	zo'n slurf ja dat zijn dan de N van Nico 
B: 	dit zijn weer degeen met dat plateau met die poot en waar die bak op staat en die slurf of dat dinge dat staart of zo dat aan de achterkant 
A: 	ik hebben nu die een met dat tafel ervoor en dat bak erop 
A: 	en bij mij staan die er een beetje link van 
B: 	ja en dat arm dinge nog aan de achterkant 
B: 	ja dan zijn dat D 
A: 	weer een nieuw 
A: 	ja 
A: 	dat zijn nummer tien bij mij 
A: 	ik hebben nu die een met dat tafel bij mij staan die een beetje aan de rechterkant 
A: 	en dan dat bak erop zeggen maar 
