B: 	oké 
B: 	ik hebben de rood dinge 
B: 	ja 
B: 	er zijn linksbof nog een stuk van een half cirkel over 
B: 	weten je dan welk ik bedoelen 
B: 	ja kloppen 
B: 	ja 
B: 	ja kloppen 
A: 	ja 
B: 	ja 
A: 	ja 
A: 	naar link kijken 
A: 	ja 
A: 	met die arm 
A: 	ja 
A: 	ja 
A: 	linkerkant een 
A: 	oké wachten even 
A: 	aan de linkerkant een rond vlak 
A: 	ja wachten even ik kijken even 
A: 	twee haart en zijn één haar een rechthoek en de ander een soort van kegelt 
A: 	één haar 
A: 	ja ik weten al welk het zijn 
A: 	het zijn numero dertien 
B: 	en nog een dinge link 
B: 	oké dat zijn bij mij O 
B: 	ja deze hebben weer zo'n half cirkel cirkel wat je nog zien en het staat op een soort voetstukje en link zo'n uitsteekseltje en 
B: 	ja 
A: 	dit noemen ik gewoon eigenlijk gewoon het simpel theekopje omdat er een soort van kegeltje in steken waardoor het lijken alsof er een lepeltje insteken 
A: 	en er zitten en er zitten een soort van blad nog aan de ja 
A: 	ja 
A: 	hij kijken naar links hij hebben zo'n blad een soort van nog rechts van zich 
A: 	ja en dan en 
A: 	en daaronder zitten ook nog een soort van ja een blok 
A: 	ja ik weten niet het zijn niet echt een figuur wat ik kunnen duiden 
A: 	nou ja in ieder geval ik denken dat die in in ieder geval met één zo'n kegel een één 
A: 	ja één kegeltje eruit een rond 
A: 	zitten erin 
A: 	aan aan de zijkant aan achterkant ja 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij C 
B: 	die met dat plateaut eronder en die half cirkel 
B: 	of ja dat voetstuk 
B: 	zeggen maar die half cirkel 
B: 	ja 
A: 	mijn normaal theekop 
A: 	met dat blok eronder 
A: 	en die neus die Pinokkio 
A: 	dat zijn 
A: 	dat zijn numero achten 
B: 	ja dat zijn C 
A: 	eigenlijk mijn normaal theekop 
A: 	normaal theekop zijn numero zeven 
A: 	het normaal theekop 
A: 	ik kunnen die figuurt echt niet veel zien 
A: 	Hallo 
A: 	nou zijn leuk 
