B: 	ja 
B: 	aan de zijkant 
B: 	ja 
B: 	ja oké dan zijn het E 
A: 	deze hebben ja hoe hoe leggen je dat uit ? het zijn zeggen maar klokslag negen uur 
A: 	vinden ik dat hebben ik ervan maken 
A: 	omdat je dus een stuk richting de negen hebben en een stuk richting de twaalf 
A: 	en dat zijn een soort van bloemblaad van een margriet of zo 
A: 	en dan zitten er nog een soort slurf aan de achterkant en aan de schuin voorkant een een soort kubus die steeds groot worden 
A: 	ja ? hebben je hem door 
B: 	oké deze hebben een dit zijn die plantje in een pot 
B: 	en dan ook één aan de zijkant en die toren aan de voorkant 
A: 	ja dan ja dan weten ik hem meteen 
A: 	ja ja ja ja 
A: 	elf 
B: 	ja ja ja dat zijn J 
B: 	ik hebben diegene met die plant in die pot en dan ook nog de zo'n zelfde vorm aan de zijkant 
B: 	en zo'n toren aan de voorkant 
A: 	dit zijn negen uur 
A: 	ja ja ja ja ja ja 
B: 	plant 
B: 	ja ja ja ja ja 
B: 	dat zijn B 
A: 	negen 
B: 	oké ik hebben die plant in die pot met diezelfde uitsteeksel en dat toren 
A: 	dit zijn negen uur 
A: 	dat zijn vier 
