A: 	ook zo'n bolle 
A: 	uitsteekselt 
A: 	ja 
A: 	oké 
A: 	nummer veertien 
B: 	ja dit zijn deze hebben een zo'n rond voorkant zo'n rond neus net als met die met dat ijstheestok 
B: 	naar links een nee 
B: 	nee hij hebben echt zo'n echt precies zo'n zelfde neus als die met dat ijstheestaafje 
B: 	dus echt zo'n ronde 
B: 	zelfde kant op 
B: 	ja twee van die gek ding bovenop en één ding naar ja 
B: 	ja link ja 
B: 	driehoek ja ja ja 
B: 	oké ja 
B: 	bij mij zijn dat P 
B: 	P ja 
B: 	die 
B: 	alleen de neus ja 
B: 	driehoekje aan de 
B: 	ja 
B: 	N 
B: 	N drie 
A: 	dit lijken op dat bak met twee tandenborstel wat jij zeggen er zitten zo'n bolle voor nog 
A: 	en dat stok aan de zijkant 
B: 	ja die waar waarvan alleen die neus en dan dat driehoek uit zijn oor en dan twee staaf bovenop 
B: 	G bij mij 
B: 	driehoek driehoekig zo aan de zijkant en die bol neus 
B: 	ja 
B: 	ja 
B: 	die ja 
B: 	G 
A: 	yes 
A: 	nummer negen 
B: 	ja 
B: 	dus met de driehoek ja G 
B: 	G dertien 
B: 	dit zijn de ijstheestamper zonder ijstheestamper dus alleen de neus 
B: 	O 
A: 	dit zijn een bak met de twee tandenborstel 
A: 	en het neusje ervoor 
A: 	yes 
A: 	nummer vijf 
B: 	ja 
B: 	even 
B: 	J negen 
A: 	bak met tandenborstel 
A: 	en het neusje 
