B: 	hebben hij 
B: 	zijn dat dezelfde uitsteeksel aan beide kant maar de één iets lang 
B: 	okee dat zijn f 
B: 	f 
A: 	ja 
A: 	deze hebben een soort scherm aan de achterkant ik vinden hem een beetje op een zonnepaneel lijken 
A: 	en twee staf links en rechts met boll aan het eind 
B: 	deze hebben twee dezelfde uitsteeksel maar rechts zijn iets lang dan links 
B: 	waar staan die 
B: 	ik weten welk het zijn 
B: 	à 
B: 	de twee dezelfde waarvan rechts lang zijn dan links 
A: 	ik kunnen hem niet vinden 
A: 	ja 
A: 	ja twaalf 
B: 	p 
B: 	twee dezelfde rechts zijn lang dan links 
A: 	deze lijken op een gieter 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	gieter 
A: 	zonnepaneel 
A: 	ja 
A: 	twaalf 
