B: 	ja 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	mooi omschrijving 
B: 	dit zijn waar jij je plan op zullen bijzetten met 
B: 	je cactus 
B: 	C 
A: 	oké deze hebben aan de linkerkant 
A: 	ja misschien je zullen het kunnen zien als een soort van bank of zo die net een beetje naar voren kantelen zijn 
A: 	met een ja een soort van een groot nagel zeggen maar een spijker die ertegenaan zitten 
A: 	en aan de linkerkant hebben je een soort van ja een cirkel die die die ja 
A: 	ja 
A: 	welk zijn dat ook alweer ? even kijken waar die staan 
A: 	ja ja 
A: 	ja oké 
A: 	dus dat zijn zeven voor mij 
B: 	ik hebben jou plantenbak 
B: 	zijn A 
A: 	ja oké deze hebben die die kantelen bank met de met de spijker ertegenaan 
A: 	en de en die cirkel aan de rechterkant 
A: 	yes 
B: 	bij mij dat plantenbak 
A: 	ja 
A: 	oké dat zijn één 
A: 	even kijken dit zijn weer die omgu die die kantelen bank met de spijker erop 
A: 	en de cirkel 
A: 	ja dat zijn dertien 
