A: 	ja 
A: 	boven op het kop liggen zeggen maar zo'n lang balk 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en lijken de linkerkant een soort van op een limonadekan zeggen maar als je daar zo'n tapje van openzet dat dan limonade eruit komen 
A: 	daar doen het mij aan denken 
A: 	ja 
A: 	oké dan denken ik dat het nummer acht zijn 
B: 	ok even kijken 
B: 	ik hebben deze omschrijven als een soort raket omdat hij een soort raar ding aan de zijkant hebben en er zitten een soort vierkant balk bovenop 
B: 	aan de rechterkant zitten een soort uitsteeksel en daar staan inderdaad een heel klein pilaar op 
B: 	hoe hoe hoe beschrijven jij die 
B: 	ja 
B: 	ok 
B: 	ja waar een soort soort vleugel ja uitsteken met een heel dun dinge inderdaad E 
A: 	ik hebben de mok met de rechthoekig balk erbovenop 
A: 	aan de linkerkant dat soort van limonadeding 
A: 	en aan de rechterkant een uitstekend driehoek waar een 
A: 	ja die 
B: 	die ik als raketje omschrijf maar die jij met het klein dun balk met het heel dun balkje en het vierkant blok bovenop 
A: 	ja 
A: 	limonadeding toch 
A: 	ja ja 
A: 	dat zijn nummer één hier 
B: 	hm ? o met dat dun 
B: 	ja met het blok op zijn hoofd E 
A: 	dit zijn de kop met dat limonadetuitje aan de linkerkant 
A: 	en er liggen een rechthoekig balk bovenop 
A: 	rechts een uitstekend driehoek met een soort cilindertje erop 
A: 	nou je terugvinden hem makkelijk als je die horizontaal balk erboven opzoeken 
A: 	want dat zijn er maar één 
A: 	ja 
B: 	even kijken die ik het de raket noemen Blok op zijn hoofd 
A: 	ja 
A: 	nummer zestien 
B: 	ok ja die raket ah O O 
A: 	dit zijn die mok waar die rechthoekig balk bovenop liggen 
A: 	aan de linkerkant dat soort van limonadetuitje 
A: 	aan de rechterkant het driehoekig uitsteeksel met jou cilinder erop 
