A: 	oké hierbij hebben je weer dat basiskomme 
A: 	en er steken iets eronder uit 
A: 	zo 
A: 	en het zijn ook best wel een complex met met eigenlijk boven hebben die zo'n zo'n ruit 
A: 	en dan ook nog van die twee van die 
B: 	ja 
B: 	oké 
B: 	dat zijn M 
A: 	ja en dat schoorsteen of die 
A: 	dat dat pluimp op de bovenkant met twee van die rond 
A: 	ja 
A: 	ja precies 
A: 	hij hebben zo'n en die er zitten van die ruit en dan zitten er ook van die blok aan toch 
A: 	ja oké 
A: 	dat zijn negen 
B: 	dit zijn dat heel raar figuur 
B: 	dit zijn dat komme en dan daarboven zitten een soort van rechthoekig vierkant 
B: 	kunnen dat 
B: 	met twee van die stulpsel zeggen maar dat dat vierkant steeds klein worden en daaronder zo'n soort van balk eronder 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dit zijn H 
A: 	ik hebben weer die met die ruit op zijn hoofd 
A: 	met die die blok weer die er zo insteken 
A: 	in die ruit en onderin hebben die weer dat 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	dit zijn die raar met dat slurfje onder neusje naar voren en dat raamp bovenop 
B: 	met die twee uit 
B: 	ja 
B: 	dat zijn D 
A: 	ja ik zitten hem zijn hem even aan het zoeken hoor 
A: 	ja ja ja 
A: 	dat zijn nummer elf met met zo'n zo'n ding er ook weer onder 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	dit zijn met dat ruit boven op zijn hoofd 
B: 	met die vierkant die steeds klein worden en die slurf onder 
B: 	één naar voren en dat armp 
A: 	ik hebben die ruit met die blok allemaal erin 
A: 	ja 
A: 	oké dat zijn nummer veertien 
