B: 	o ja een soort van schermpje aan de achterkant waar ja dat zijn K 
A: 	ja dit zijn ik vinden het een beetje op een gieter lijken dat kop en aan de een kant zo'n staaf met een bolle aan de zijkant 
A: 	en aan de ander kant ook datzelfde stuk staaf met dat bollet 
A: 	en aan de achterkant nog een soort van ja schuin vierkant met daaronder nog een staaf 
A: 	ja beetje wel 
A: 	ja vooral die twee ja soort van plat bollet aan de zijkant 
B: 	deze hebben zegmaar weer dat liggen schermpje er achter en twee uitstekend ja wat zullen je het kunnen noemen spijker iets in die richting 
A: 	ja 
A: 	ja ja 
A: 	dat zijn negen 
B: 	even kijken waar die staan F 
B: 	o jee 
B: 	deze hebben zegmaar dat liggen schermpje en twee van die spijker aan beide kant 
A: 	ja dit zijn ja die gek gieter weer met die staaf erdoorheen aan de achterkant met aan de beide kant die balle 
A: 	en dan daarachter weer dat schuin plateau met dat haak er balkje eronder 
B: 	even voorkijken L 
B: 	twee spijker aan de zijkant liggen schermpje achter 
A: 	ja 
A: 	ja dat zijn drie 
A: 	dit zijn ja nog steeds mijn gieter 
A: 	met het staafje erdoorheen met die bollet aan de zijkant 
A: 	ja dat zijn vijf 
