A: 	deze ik vinden het hier zo'n uitsteeksel een soort van toren omhoog 
A: 	aan zo'n plateau 
A: 	ja het lijken wel op een toeter inderdaad zeggen maar het zijn een uitsteeksel daar staan de toeter op en dan hebben die ook nog een plateau 
A: 	oké 
A: 	ja ik weten welk je bedoelen 
A: 	ja de die trompet ja dat zijn nummer zeven 
B: 	ja en een soort van schijf aan de rechterkant ja dat zijn L 
A: 	dit zijn diegene met het plateau en de trompet 
A: 	vinden jij volgens mij of toeter 
B: 	deze hebben zegmaar zo'n spijker in een uitstekend dat langgerekt hartje waar je het net over hebben 
B: 	even kijken 
B: 	ik kunnen hem niet vinden C 
A: 	ja 
A: 	even zoeken 
A: 	ja één 
B: 	die met dat uitstekend ding waar die spijker in zitten met dat uitgereken hartje en rechts dat rond 
A: 	dit zijn de met het plateau en de toeter trompet toren 
B: 	A 
A: 	ja even kijken ja dertien 
B: 	zo'n spijker die aan dat steken hart zitten 
