A: 	oké ik noemen deze dumbbell met het zijn niet het juist er zitten een staart onderaan 
A: 	die gaan naar link die die gaan naar rechtsvoor en bovenop hebben je een ruit met een staaf erdoorheen 
A: 	M 
A: 	drie 
A: 	ja 
B: 	even kijken 
B: 	zijn dat met zitten er ook zo'n vierkant plaat aan de zijkant of niet 
B: 	die vinden ik een beetje op een satelliet lijken 
B: 	die 
B: 	ja ja 
B: 	zitten bovenin een ruit met aan allebei de kant een dinge ? ja 
B: 	en en bovenin zeggen maar veel in zo'n zo'n Jvorm zo'n sik of niet 
B: 	ja 
B: 	ja ja ja 
B: 	ja 
B: 	oké 
B: 	M 
A: 	ja ja ja 
A: 	negen 
A: 	ja 
A: 	I negen 
B: 	nu hebben ik weer die die met die blauw of met die met die sik onderaan 
B: 	ja 
B: 	ja 
A: 	degeen met met die ruit achter in het hoofd met die twee staf die eruit komen staart onderaan 
A: 	ruit in het hoofd gewoon recht achter in het hoofd 
A: 	hebben geen armp 
A: 	ja met de armpjes uit de ruit 
A: 	dus ruit helemaal bovenin 
A: 	of gewoon bovenop 
A: 	zes 
B: 	ja 
B: 	H 
A: 	met dat ding erdoor met dat ding er ah ja 
A: 	F elf 
A: 	ruit op het hoofd met die staaf door de ruit heen 
A: 	achten 
B: 	die met die satelliet boven en die sik daaronder 
A: 	ja 
A: 	veertien 
A: 	G veertien 
B: 	ja 
B: 	D 
B: 	het zijn die satelliet en die sik 
