B: 	ik hebben hem deze keer in principe lijken het een soort plaa te hebben over in het midden van het kelkvormig dinge of in het midden van de 
B: 	mokvormig basisvorm 
B: 	dan hebben je twee uitsteeksel aan de bovenkant en een soort hoekuitsteeksel en dan nog een cilindervormig ding 
A: 	en dan twee van die dinget 
A: 	dan zijn dat nummer zes 
A: 	ja dit zijn die met die plaat die zeggen maar op een kwart van de onderkant zitten 
A: 	met die twee klein staafjes aan de bovenkant 
A: 	dat armdinge en één en die glijbaan 
B: 	ja 
B: 	ja dan weten ik wel dat zijn denken ik C met een cilinder en dan een hoek aan de 
B: 	ja C 
A: 	ja 
A: 	nummer dertien 
B: 	ik hebben degeen waarbij op een drie van de basisvorm een soort vierkant zitten 
B: 	daarboven zijn een soort uitstekend cilinder 
B: 	en dan twee van die gelijk klein balk boven en dan rechts of links nog een hoekig handvat 
A: 	ja dit zijn die met dat vierkan op een kwart van onder 
A: 	de twee klein staafjes aan de bovenkant 
A: 	de glijbaan en het zwaaien armp 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	dinge 
A: 	ja nummer negen 
B: 	ik hebben degeen met op een drie dus dat dat soort plateau dat het doorklieft en dan links 
B: 	de het uitsteeksel met een hoek erin en boven die twee klein blok en dan voor 
A: 	het kop met de twee klein staafjes erbovenop de vierkant op een kwart de glijbaan en het armp 
B: 	ja 
B: 	yes N 
