A: 	deze hebben aan de rechterkant een schijf als een soort dienblad 
A: 	en aan de linkerkant hebben die een soort uitgereken kidneyboon of zo met een soort spijker erin 
A: 	maar het makkelijk te omschrijven zijn een soort aan de rechterkant hebben die echt een soort schijf als een dienblad 
A: 	en bovenop zitten niks 
A: 	ja die steken er zo in 
A: 	ja ja ja die 
B: 	ja 
B: 	ja 
B: 	dat zijn L 
A: 	ja 
A: 	even zoeken ja het dienblad zijn al ja 
A: 	dat zijn bij mij zeven 
B: 	deze hebben die schijf horizontaal eruit steken aan de rechterkant 
B: 	en dan aan de linkerkant nog een gek vorm met een tuu eraan die zo steeds breder worden aan het einde vierkant 
A: 	deze hebben het het dienblad weer met de omgekeerd pion 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	met het dienblaad 
A: 	ja dat zijn bij mij één 
A: 	dit zijn die met het dienblad 
B: 	deze hebben die gek uitsteeksel met dat vierkant en die ingedeukt ding 
B: 	of die dinge wat smal zijn en dan breder worden met een vierkant eraan aan dat gek ingedeukt ding en die schijf aan de ander kant 
B: 	ja 
A: 	met het dienblad 
A: 	ja dat zijn nummer dertien 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	dit zijn met dat die ingedeukt ding aan de linkerkant met de schijf aan de rechterkant en dat tuu of zoiets erbovenop 
