A: 	okee nou zijn het weer het bolle alleen het bolle liggen nu op het beker 
A: 	ja 
B: 	ja 
B: 	soort houten lat 
B: 	zijn die verticaal 
B: 	okee ja 
B: 	ja 
B: 	okee dan denken ik dat ik hem ook wel weten 
B: 	ik gaan voor g 
A: 	ja 
A: 	en aan de voorkant een balk die onderaan uitsteken 
A: 	dat zijn nummer vijf 
B: 	ah bij bij dit kop lijken het alsof er een ei bovenin liggen 
B: 	en er zitten aan de voorkant zitten een een een lat 
B: 	verticaal 
B: 	en je hebben nog een uitsteeksel aan de linkerkant 
B: 	die krom lopen 
B: 	en aan de achterkant hebben je ook nog een uitsteeksel 
B: 	ja 
A: 	het bolle aan de bovenkant 
A: 	ja 
A: 	ja 
A: 	vallen naar beneden ja 
A: 	aan de voorkant dat lang balk 
A: 	vijfteen 
A: 	nou het bolle aan de bovenkant er zijn er maar één 
A: 	vier 
B: 	je hebben ja ja toch ? ja 
B: 	het gaan echt om het zoeken inderdaad ja ja 
B: 	ja 
B: 	uitsteeksel aan de zijkant 
B: 	dat zijn c voor mij 
B: 	hier liggen het eit bovenin het kop 
B: 	met een verticaal lat aan de voorkant en twee uitsteeksel naar beide kant 
B: 	dat zijn d 
B: 	ei bovenop met een lat verticaal aan de voorkant 
