A: 	oké hier steken echt aan al kant iets uit 
A: 	boven en naar links het zijn een beetje van die ja wat zijn het ? soort joysticks of zo waar je aan kunnen zitten 
A: 	en naar rechts steken één of ander ja wat zijn het ? blok 
A: 	ja inderdaad een blokkentoren 
B: 	ja 
B: 	ja 
B: 	die denken ik eerst 
B: 	o die 
B: 	die hebben er één ja en dan hebben hij bovenop één staaf en zo'n zelfde staaf links en dan achter zo zo'n gek ding 
B: 	ok dat zijn dan 
B: 	ja 
B: 	dat zijn dan E 
A: 	ja ja ja 
A: 	elf 
B: 	dit zijn met die telescoop met één ding 
B: 	en dan dus ook aan de bovenkant weer zo'n spriet en aan ander kant zo'n zelfde spriet en de achterkant dat wormp 
A: 	dit zijn met die twee joystick één bovenop één aan de zijkant en die die blokkentoren erin 
A: 	ja 
A: 	negen 
B: 	en een wormp 
B: 	ja dat zijn voor mij J 
A: 	dit zijn de joystick 
A: 	rechts staan die 
A: 	vier 
B: 	dit zijn met één telescoop en die twee joystick en één slier wormp 
B: 	die een telescoop 
B: 	dat zijn voor mij B 
B: 	dit zijn met één telescoop die twee joystick en een slier wormp 
