B: 	ok dit hebben een vierkant vlak aan de voorkant en er zitten een soort van spijker achtig dinge op 
B: 	en aan de linkerkant zitten twee van die ja blok die steeds klein worden 
A: 	oké wachten even hoor 
A: 	je moeten hem zo links draaien 
A: 	dus hij hebben inderdaad twee poo maar en dan zo'n vierkant ding aan de zijkant 
A: 	ah ja oké 
A: 	dan zijn het twee 
B: 	ja dat zijn G 
B: 	ok ja dit zijn ook weer met een soort van spijker aan de bovenkant niet dezelfde en dan met die vierkant die steeds klein worden en een vierkant vlak ervoor 
A: 	dit zijn dat een hond maar dan kantelen 
B: 	twee van die vierkanut aan de zijkant die klein worden 
B: 	ja dat zijn D 
A: 	ah ja 
A: 	even kijken 
A: 	Ah nummer negen 
B: 	ja dit zijn met die spijker en dat vierkant vlak voor en die twee ding die zo klein worden 
A: 	dit zijn dat kantelen hond 
B: 	ja dat zijn B 
A: 	zijn nummer één 
A: 	dit zijn dat kantelen rond 
