A: 	ja 
A: 	gewoon een raket het zijn een spaceshuttle 
A: 	ja ja en daarachter zitten precies dezelfde vorm die je niet echt zien als aan de ander kant toch 
A: 	nou 
A: 	ja liggen staafje jajaja ok achten 
B: 	deze zijn ook wel 
B: 	ja 
B: 	het zijn zeggen maar ja er staan er zitten eigenlijk een balk bovenop 
B: 	een balk 
B: 	en dan 
B: 	aan de een kant ja een soort uitsteeksel dat zijn een soort ja ook een half cilinder denken ik en aan de ander kant ja ik zullen het ja ik hebben het omschrijven als een 
B: 	ja zo'n rad van een watermolen zeggen maar 
B: 	daar doen het me een beetje aan denken maar 
B: 	of het kunnen ook een armpje zijn 
B: 	dat iemand net een tas vasthouden 
B: 	nee het zijn één recht balk 
B: 	ja 
B: 	ja beetje ja 
B: 	ja je kunnen ook inderdaad zien net zoals dat ander zijn dit ook wel eigenlijk zo je kunnen het ook zien als een tas daar net een boek bovenuit steken 
B: 	ja ja ja 
A: 	deze hebben die spaceshuttle dat liggen blok erop zegmaar en die gek vormp 
A: 	en dat 
A: 	ja 
B: 	ja 
B: 	E 
A: 	ja 
A: 	één 
B: 	ja dit zijn dat die klein boekentas 
A: 	de spaceshuttle 
B: 	klein boekentas 
B: 	E 
A: 	zestien 
A: 	de spaceshuttle 
B: 	dit zijn de klein boekentas 
B: 	de klein rugtas 
B: 	ja 
B: 	O 
